epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.759,1.71678,3.47986,1.98116,0.00611,0.58384,0.04491,0.02143,1.6414,3.73464,2.12975,1.429e-05,1.429e-05,1.429e-05
2,19.798,1.82728,3.48617,2.04408,0.00624,0.58384,0.0523,0.02512,1.60294,3.71991,2.09591,3.86259e-05,3.86259e-05,3.86259e-05
3,28.676,1.75829,3.49681,1.9741,0.00711,0.70606,0.06605,0.0316,1.58702,3.68836,2.06366,5.73029e-05,5.73029e-05,5.73029e-05
4,41.401,1.66756,3.46539,1.91574,0.00747,0.70606,0.08941,0.04133,1.57879,3.70473,2.01888,7.03211e-05,7.03211e-05,7.03211e-05
5,51.368,1.71179,3.3387,1.98069,0.00681,0.6202,0.12256,0.05934,1.56104,3.68821,2.02297,7.76804e-05,7.76804e-05,7.76804e-05
6,60.0391,1.53197,3.22231,1.82255,0.00796,0.70606,0.1956,0.1062,1.5799,3.6618,2.04542,7.93809e-05,7.93809e-05,7.93809e-05
7,68.4881,1.53569,3.14779,1.78881,0.00807,0.70606,0.26634,0.12487,1.55787,3.64705,1.9942,7.54226e-05,7.54226e-05,7.54226e-05
8,77.4991,1.53281,3.06177,1.77268,0.0085,0.76162,0.28134,0.13706,1.54945,3.62274,1.96302,6.58055e-05,6.58055e-05,6.58055e-05
